transportation_bureau,prefectures_name,route_name,rc_name,rc_kana,rc_address,lat,lng
近畿,兵庫,加古川線,焼山,やきやま,兵庫県加東市河高字中川原63-5,0,0
近畿,兵庫,加古川線,厄神道,やくじんみち,兵庫県加東市下滝野字林之元137-2,0,0
近畿,兵庫,加古川線,国正,くにまさ,兵庫県加東市下滝野字下之山913-2,0,0
近畿,兵庫,加古川線,西村第二,にしむらだいに,兵庫県加東市下滝野字行里1032-2,0,0
近畿,兵庫,加古川線,光明寺道,こうみょうじみち,兵庫県加東市下滝野字八之坪1221-2,0,0
近畿,兵庫,加古川線,上滝野,かみたきの,兵庫県加東市上滝野字三反郷893-3,0,0
近畿,兵庫,加古川線,宮前Ａ,みやまえ,兵庫県加東市上滝野字梅田849-2,0,0
近畿,兵庫,加古川線,上滝町,かみたきちょう,兵庫県加東市上滝野字滝之端618-2,0,0
近畿,兵庫,加古川線,変電所,へんでんしょ,兵庫県加東市上滝野字大歳323-2,0,0
近畿,兵庫,加古川線,大谷,おおたに,兵庫県加東市上滝野字芝崎248-2,0,0
近畿,兵庫,加古川線,滝,たき,兵庫県加東市上滝野字西長瀬185-2,0,0
近畿,兵庫,加古川線,板波,いたば,兵庫県西脇市板波町字三高710-8,0,0
近畿,兵庫,加古川線,板波墓道,いたばはかみち,兵庫県西脇市板波町字西池町468-2,0,0
近畿,兵庫,加古川線,板波第二,いたばだいに,兵庫県西脇市板波町字中垣内598-2,0,0
近畿,兵庫,加古川線,板波第三,いたばだいさん,兵庫県西脇市板波町字北垣内574-2,0,0
近畿,兵庫,加古川線,野村第二,のむらだいに,兵庫県西脇市野村町字薬師ノ下857-2,0,0
近畿,兵庫,加古川線,野村第三,のむらだいさん,兵庫県西脇市野村町字八幡垣内1006-2,0,0
近畿,兵庫,加古川線,野村,のむら,兵庫県西脇市野村町字八幡垣内1054-2,0,0
近畿,兵庫,加古川線,和布第一,わふだいいち,兵庫県西脇市和布町字山根110-2,0,0
近畿,兵庫,加古川線,和布第二,わふだいに,兵庫県西脇市堀町字前山199-10,0,0
近畿,兵庫,加古川線,堀,ほり,兵庫県西脇市堀町字東河原184-3,0,0
近畿,兵庫,加古川線,高島第一,たかしまだいいち,兵庫県西脇市堀町字東河原192-2,0,0
近畿,兵庫,加古川線,高島第三,たかしまだいさん,兵庫県西脇市高島町字山添239-2,0,0
近畿,兵庫,加古川線,下比延,しもひえ,兵庫県西脇市鹿野町字中ノ垣内430-5,0,0
近畿,兵庫,加古川線,下比延第二,しもひえだいに,兵庫県西脇市鹿野町字五明449-4,0,0
近畿,兵庫,加古川線,比延,ひえ,兵庫県西脇市比延町字西川原397-2,0,0
近畿,兵庫,加古川線,上比延,かみひえ,兵庫県西脇市黒田庄町福地字百合661-37,0,0
近畿,兵庫,加古川線,福地,ふくぢ,兵庫県西脇市黒田庄町福地字島田610-2,0,0
近畿,兵庫,加古川線,大田,おおた,兵庫県西脇市黒田庄町福地字大田358-2,0,0
近畿,兵庫,加古川線,上福地,かみふくぢ,兵庫県西脇市黒田庄町福地字北張田315-2,0,0
近畿,兵庫,加古川線,下岡,しもおか,兵庫県西脇市黒田庄町岡字出口831-2,0,0
近畿,兵庫,加古川線,岡,おか,兵庫県西脇市黒田庄町岡字二ノ門385-2,0,0
近畿,兵庫,加古川線,宮前Ｂ,みやまえ,兵庫県西脇市黒田庄町岡字二ノ門377-15,0,0
近畿,兵庫,加古川線,喜多第一,きただいいち,兵庫県西脇市黒田庄町喜多字東所242-2,0,0
近畿,兵庫,加古川線,喜多第二,きただいに,兵庫県西脇市黒田庄町喜多字出栗337-2,0,0
近畿,兵庫,加古川線,喜多第三,きただいさん,兵庫県西脇市黒田庄町喜多字東天神546-4,0,0
